period,ticker,type,region,avg_monthly_ret,annual_ret,volatility,sharpe_proxy,neg_months,neg_month_pct,max_monthly_dd,n_months
COVID Crisis,ESGE,ESG,Emerging,2.8847648850066054,40.67367506683468,7.544726865745577,0.38235511189993626,2,20.0,-15.602607466147301,10
COVID Crisis,ESGU,ESG,US,2.975116100319671,42.16329582978484,7.759402338728702,0.3834207804214871,3,30.0,-12.596431605158854,10
COVID Crisis,EUSB,ESG,Fixed Income,0.18531531322992972,2.2465899185950766,0.8920713483402471,0.20773597714433956,3,50.0,-0.7605921810825866,6
COVID Crisis,HYXF,ESG,Fixed Income,0.22423316650401873,2.7242324328179413,3.3178314557259654,0.06758425480505756,3,30.0,-7.900621687932807,10
COVID Crisis,LDEM,ESG,Emerging,2.6992413169972593,37.659701497741516,7.938159566854538,0.34003364309629547,2,20.0,-16.94438999913427,10
COVID Crisis,SUSA,ESG,US,3.102320539125145,44.28503245568689,7.2350059741097485,0.4287930860356862,3,30.0,-11.622431937314692,10
COVID Crisis,SUSB,ESG,Fixed Income,0.16858020512574678,2.0418249912866893,1.5985403438916166,0.1054588367255977,3,30.0,-3.7545327102095682,10
COVID Crisis,SUSC,ESG,Fixed Income,0.4105761499886141,5.039708653618868,3.327717426064764,0.12338071339012287,4,40.0,-7.21490549053323,10
COVID Crisis,SUSL,ESG,US,2.5403457656909065,35.12550516102107,7.562389118886707,0.33591841490231095,3,30.0,-12.940715475057774,10
COVID Crisis,USXF,ESG,US,3.552362335346265,52.02679174717133,5.785296567439385,0.6140328838696971,2,33.33333333333333,-3.8771985535179354,6
COVID Crisis,ACWI,Conventional,Global,2.593834789055316,35.97377659668102,7.4732100630943155,0.3470844211732658,3,30.0,-13.496160331249285,10
COVID Crisis,AGG,Conventional,Fixed Income,0.1592175876338353,1.9274313255520648,0.883704511922352,0.18017061753762462,5,50.0,-0.98010915571205,10
COVID Crisis,IEFA,Conventional,Developed exUS,2.0732110113309976,27.920846272635824,7.697763508127157,0.26932641008549296,3,30.0,-13.92609751417081,10
COVID Crisis,IEMG,Conventional,Emerging,2.7995999384156622,39.28267351043046,7.673083730268527,0.36485981866350464,2,20.0,-16.176189415276234,10
COVID Crisis,IVV,Conventional,US,2.6501859137506334,36.87271541472139,7.639092887349927,0.3469241640115739,3,30.0,-12.890485840635357,10
Recovery,CRBN,ESG,Global,1.3137123539519022,16.95498825147297,2.7254869065655414,0.4820101504752214,3,25.0,-4.238078523845501,12
Recovery,DMXF,ESG,Developed exUS,0.7386207543624669,9.232533319696135,2.663379796043882,0.27732460667442016,4,33.33333333333333,-3.7980109958914876,12
Recovery,DSI,ESG,US,2.2609196224784958,30.77247031439083,3.6340740336078237,0.6221446237940033,3,25.0,-5.059580862949542,12
Recovery,EAGG,ESG,Fixed Income,-0.2326951749374436,-2.7568807986480315,0.8212279690334593,-0.28335027996101153,7,58.333333333333336,-1.5333924643007202,12
Recovery,EMXF,ESG,Emerging,0.2180558672953701,2.648281549392295,2.972494232313963,0.07335787734249788,5,41.66666666666667,-5.732629913325393,12
Recovery,ESGD,ESG,Developed exUS,0.7298285229653663,9.118185497305209,2.9899592337560694,0.2440931350253012,4,33.33333333333333,-4.8640013975673195,12
Recovery,ESGE,ESG,Emerging,-0.4061023129562256,-4.765841209423883,3.0401672353756672,-0.13357893876059893,5,41.66666666666667,-6.128027073956166,12
Recovery,ESGU,ESG,US,1.9447372466019268,26.002084602208697,3.184215727808062,0.610742931020141,3,25.0,-5.076875244659728,12
Recovery,EUSB,ESG,Fixed Income,-0.21432324536386585,-2.541777750254981,0.7384005914307333,-0.2902533500800571,7,58.333333333333336,-1.4042829018409142,12
Recovery,HYXF,ESG,Fixed Income,-0.13758772659245483,-1.6386157905980636,0.6085715911757381,-0.22608305840671983,7,58.333333333333336,-1.2485067432887242,12
Recovery,LCTD,ESG,US,0.24313761786562138,2.956985858400607,3.3587735191597847,0.07238880992679839,3,37.5,-4.957880499669464,8
Recovery,LDEM,ESG,Emerging,-0.14677504363809307,-1.747151534765834,3.2422602153675566,-0.04526935960982206,5,41.66666666666667,-6.272053672483335,12
Recovery,SUSA,ESG,US,2.1916372243009925,29.71323335085252,3.4163582946043087,0.6415126972374053,3,25.0,-5.4508666953442475,12
Recovery,SUSB,ESG,Fixed Income,-0.16127043848138028,-1.9181718215744215,0.2937505178490038,-0.5490047801865593,9,75.0,-0.6136069813722722,12
Recovery,SUSC,ESG,Fixed Income,-0.2865444113127983,-3.384856137155612,1.1697074290885126,-0.24497101085874637,7,58.333333333333336,-1.8911737611605806,12
Recovery,SUSL,ESG,US,2.2691448713282507,30.898748711615998,3.7039711452445645,0.6126248780964584,3,25.0,-5.241284664243818,12
Recovery,USXF,ESG,US,1.9901133156747592,26.67674388005996,3.2596467262201676,0.6105303681121487,3,25.0,-5.303364147683998,12
