period,ticker,region,type,n_months,avg_monthly_return,return_std,sharpe_proxy,neg_months,neg_month_pct,max_drawdown_month
COVID_Crisis,EEM,Emerging,Conventional,10,0.027737122656439794,0.0728779587081165,0.380596865611038,2,0.2,-0.15769986050149576
COVID_Crisis,EFA,Developed_exUS,Conventional,10,0.019985319101663023,0.07429838612500292,0.2689872572472682,3,0.3,-0.14106674357740812
COVID_Crisis,EMSG,Emerging,ESG,10,0.030060222391900936,0.0712510540674714,0.4218916166971413,2,0.2,-0.14880844853476316
COVID_Crisis,ESGD,Developed_exUS,ESG,10,0.0200114844113091,0.0757956250320536,0.26401899057955314,3,0.3,-0.1436855887769687
COVID_Crisis,ESGE,Emerging,ESG,10,0.02889267973138554,0.07511359397560047,0.384653139360778,2,0.2,-0.16120160478982815
COVID_Crisis,ESGU,US,ESG,10,0.030872592147162446,0.07912456889175219,0.39017706610696684,3,0.3,-0.12959865228045486
COVID_Crisis,ESGV,US,ESG,10,0.03326701301896122,0.07786514309969247,0.42723883492217724,3,0.3,-0.12714422249129742
COVID_Crisis,IVV,US,Conventional,10,0.028251642430600632,0.0764219283639571,0.36967979002117096,3,0.3,-0.12676163495936965
COVID_Crisis,JUST,US,ESG,10,0.029025016120143653,0.07509355404574182,0.38651807720358544,3,0.3,-0.12319280894700602
COVID_Crisis,NULC,US,ESG,10,0.027780013962917006,0.07843913048345624,0.3541601467494103,3,0.3,-0.12679791280921793
COVID_Crisis,SPY,US,Conventional,10,0.027700412253275197,0.07708341328098264,0.35935632679241003,3,0.3,-0.12998726961543283
COVID_Crisis,SUSA,US,ESG,10,0.031949532596549146,0.07313987300568255,0.4368278379983905,3,0.3,-0.11817146337660522
COVID_Crisis,SUSL,US,ESG,10,0.026657788453143382,0.07698911452221348,0.3462539947183296,3,0.3,-0.13174103323028097
COVID_Crisis,VEA,Developed_exUS,Conventional,10,0.02249103226019662,0.07920214049134151,0.2839700053643799,3,0.3,-0.15530760604906746
COVID_Crisis,VSGX,Developed_exUS,ESG,10,0.02374167705607546,0.07316652998217528,0.3244882197072811,3,0.3,-0.15503074102678815
COVID_Crisis,VTI,US,Conventional,10,0.03052139730800657,0.08138932322354728,0.375004928154707,3,0.3,-0.14311349152473063
COVID_Crisis,VWO,Emerging,Conventional,10,0.025992168528243598,0.07752877255908297,0.33525835209677207,2,0.2,-0.1720136414589103
