,period,ticker,region,type,avg_monthly_ret,annual_ret,volatility,sharpe_proxy,neg_months,neg_month_pct,max_monthly_dd,n_months
64,Recovery,VTI,US,Conventional,1.9711664289784325,26.394636640499836,3.1091035183003948,0.6339983269698204,2,16.666666666666664,-4.7647254555210194,12
65,Recovery,VWO,Emerging,Conventional,0.11087758570121088,1.3386750255542923,2.861650133581873,0.0387460313194987,4,33.33333333333333,-5.39847290193385,12
66,Rate Hike,AGG,Fixed Income,Conventional,-1.1465027052601862,-12.922798406919867,2.425033773055326,-0.4727780363304776,9,75.0,-4.15500780807126,12
67,Rate Hike,BGRN,Fixed Income,ESG,-1.117265767807206,-12.613247464650357,2.436866476787375,-0.4584846065428028,9,75.0,-4.19057928634863,12
68,Rate Hike,BNDW,Fixed Income,Conventional,-1.04392590016861,-11.832305301000668,2.267099037090586,-0.46046770921322494,9,75.0,-3.58020684132625,12
69,Rate Hike,DSI,US,ESG,-1.8130822244987683,-19.713315165127376,6.83888982457307,-0.2651135302668739,8,66.66666666666666,-9.85325681474854,12
70,Rate Hike,EAGG,Fixed Income,ESG,-1.2066676233461102,-13.556644384579563,2.52180497918219,-0.4784936318657865,9,75.0,-4.17349131283639,12
71,Rate Hike,EEM,Emerging,Conventional,-1.7141976101947387,-18.737636356184407,6.532384415060194,-0.26241529911232925,8,66.66666666666666,-11.53945044912408,12
72,Rate Hike,EFA,Developed exUS,Conventional,-0.9282857180787369,-10.587933144605499,7.142493618953782,-0.12996661496698828,7,58.333333333333336,-10.7413159666832,12
73,Rate Hike,EMSG,Emerging,ESG,-1.9480344024484484,-21.027542999997294,7.3772514961618105,-0.2640596438201896,9,75.0,-12.43934559412781,12
74,Rate Hike,ESGD,Developed exUS,ESG,-1.0511341240929233,-11.909342867926132,7.157272564412246,-0.14686238572489552,7,58.333333333333336,-10.49629497311315,12
75,Rate Hike,ESGE,Emerging,ESG,-1.8679821589331642,-20.25035665706365,6.683671862616755,-0.279484420739025,9,75.0,-11.850905884140719,12
76,Rate Hike,ESGU,US,ESG,-1.6561176225818492,-18.159515794319383,6.965385824523527,-0.23776394650688817,8,66.66666666666666,-9.96596234478632,12
77,Rate Hike,ESGV,US,ESG,-2.0637196053466185,-22.138410263194665,6.8462927636643895,-0.30143607300866276,8,66.66666666666666,-9.774679716189489,12
78,Rate Hike,IVV,US,Conventional,-1.451733610231698,-16.094995392460643,6.8359419532203605,-0.21236774977994033,7,58.333333333333336,-9.7009056439317,12
79,Rate Hike,JUST,US,ESG,-1.417633598921604,-15.745934390445026,6.945424830084974,-0.20411042284713057,8,66.66666666666666,-10.00740137086995,12
80,Rate Hike,NULC,US,ESG,-1.3374377983544834,-14.919766064109973,6.773694836197822,-0.19744582988997,8,66.66666666666666,-8.90261972628878,12
81,Rate Hike,SPY,US,Conventional,-1.4535086687703491,-16.113129232450753,6.822497306045119,-0.21304642619388917,7,58.333333333333336,-9.6158957596069,12
82,Rate Hike,SUSA,US,ESG,-1.7596274300125125,-19.187226880610897,7.210395001164577,-0.24404036529598014,8,66.66666666666666,-10.33546829539749,12
83,Rate Hike,SUSL,US,ESG,-1.6704997862110031,-18.303024095053367,6.658264956136704,-0.25089115516067867,8,66.66666666666666,-9.52240892976338,12
84,Rate Hike,VEA,Developed exUS,Conventional,-1.123235134303128,-12.676530956122722,7.020067198308763,-0.16000347326785302,7,58.333333333333336,-10.34935779634531,12
85,Rate Hike,VSGX,Developed exUS,ESG,-1.488490129120855,-16.469764499149797,6.4741747904729126,-0.22991194666403603,8,66.66666666666666,-10.39605012724353,12
86,Rate Hike,VTI,US,Conventional,-1.5909720177255646,-17.506580561725215,6.819025981961686,-0.23331367587308655,8,66.66666666666666,-9.61419765846417,12
87,Rate Hike,VWO,Emerging,Conventional,-1.5278534971879996,-16.869410988281274,6.0384673468582575,-0.25302008099504314,9,75.0,-11.281292183735001,12
88,Rebound,AGG,Fixed Income,Conventional,0.47916227734521,5.903927612590176,2.5405992986569212,0.188602066291413,7,58.333333333333336,-2.90360485155518,12
89,Rebound,BGRN,Fixed Income,ESG,0.5420283158930316,6.701790779512162,2.1686908023637668,0.2499334231058882,6,50.0,-2.46894900491748,12
90,Rebound,BNDW,Fixed Income,Conventional,0.49930374437922576,6.1589552643186,2.029414777985008,0.24603336380302754,7,58.333333333333336,-2.32088247149737,12
91,Rebound,DSI,US,ESG,2.210805321578142,30.00549865478701,4.591799982281024,0.48146812363545105,4,33.33333333333333,-5.44714835934323,12
92,Rebound,EAGG,Fixed Income,ESG,0.4665528108206433,5.744554781874456,2.5285783391137526,0.1845119067911364,7,58.333333333333336,-2.91865922526594,12
93,Rebound,EEM,Emerging,Conventional,0.8386556404345692,10.54129942463289,5.800648718483936,0.14457962913047442,6,50.0,-7.5676843317972295,12
94,Rebound,EFA,Developed exUS,Conventional,1.4482192671502259,18.831926664606446,4.831304789610603,0.299757380297042,5,41.66666666666667,-4.00707405327067,12
95,Rebound,EMSG,Emerging,ESG,0.5264861396819382,6.504026463441104,5.88875555321153,0.08940533104567575,6,50.0,-7.815767802811529,12
96,Rebound,ESGD,Developed exUS,ESG,1.4700843491816324,19.13963265425047,4.90171451510697,0.2999122745012723,5,41.66666666666667,-3.9192189808542,12
97,Rebound,ESGE,Emerging,ESG,0.9015948504935282,11.372089824878984,5.967751221674074,0.15107782094184094,6,50.0,-7.78551577399326,12
98,Rebound,ESGU,US,ESG,2.024998339500522,27.197670152665832,4.422789638778378,0.45785544981511905,4,33.33333333333333,-5.34220669987184,12
99,Rebound,ESGV,US,ESG,2.3703831082639013,32.46219366528105,4.752713523602769,0.4987431067520024,4,33.33333333333333,-5.35983262811303,12
100,Rebound,IVV,US,Conventional,2.050307067774739,27.57682511599233,4.286335678040853,0.47833562786008127,4,33.33333333333333,-5.1381786263752405,12
101,Rebound,JUST,US,ESG,1.9490259660674327,26.06570879624033,4.209322080255936,0.4630260951542409,4,33.33333333333333,-5.278064672821079,12
102,Rebound,NULC,US,ESG,1.8735903292787834,24.950888064060383,4.454059395709048,0.42064780974491783,6,50.0,-5.01308794311111,12
103,Rebound,SPY,US,Conventional,2.042848413792098,27.464978046825728,4.264868243161887,0.4789944958012517,4,33.33333333333333,-5.07827304409296,12
104,Rebound,SUSA,US,ESG,1.9090148613535367,25.473276876005315,4.79428454873516,0.3981855565617559,5,41.66666666666667,-5.79057540748816,12
105,Rebound,SUSL,US,ESG,2.2450260742937047,30.528780412308265,4.47497283348242,0.5016848499048042,4,33.33333333333333,-5.41828189153,12
106,Rebound,VEA,Developed exUS,Conventional,1.4893171648275658,19.410898516695198,5.106249050891187,0.29166559444797097,5,41.66666666666667,-4.43717384303078,12
107,Rebound,VSGX,Developed exUS,ESG,1.3162173877306051,16.989694239584296,5.053032041838231,0.26048071273495854,5,41.66666666666667,-4.49764118158286,12
108,Rebound,VTI,US,Conventional,2.043154714823937,27.469569447338028,4.499894385974941,0.4540450374106435,4,33.33333333333333,-5.1487041734755,12
109,Rebound,VWO,Emerging,Conventional,0.8271992148430891,10.390688475093391,5.35375539690765,0.15450821965472733,6,50.0,-6.65404642471706,12
110,Anti-ESG,AGG,Fixed Income,Conventional,0.34971973169405485,4.278305779989644,1.3771364566017483,0.25394704353193204,8,33.33333333333333,-2.51085586103984,24
